jour;three_class;hosp;rea;HospConv;SSR_USLD;autres;rad;dc
;;sum;sum;sum;sum;sum;sum;sum
2020-03-18;0-19;40;6;0.0;0.0;0.0;74;0
2020-03-18;20-59;770;218;0.0;0.0;0.0;424;11
2020-03-18;60+;2095;540;0.0;0.0;0.0;308;205
2020-03-18;whole;2972;771;0.0;0.0;0.0;816;218
2020-03-19;0-19;45;8;0.0;0.0;0.0;100;0
2020-03-19;20-59;1115;345;0.0;0.0;0.0;667;19
2020-03-19;60+;3200;754;0.0;0.0;0.0;508;347
2020-03-19;whole;4461;1122;0.0;0.0;0.0;1292;372
2020-03-20;0-19;47;7;0.0;0.0;0.0;118;0
2020-03-20;20-59;1349;411;0.0;0.0;0.0;804;20
2020-03-20;60+;3715;863;0.0;0.0;0.0;640;424
2020-03-20;whole;5226;1297;0.0;0.0;0.0;1587;450
2020-03-21;0-19;47;7;0.0;0.0;0.0;118;0
2020-03-21;20-59;1591;485;0.0;0.0;0.0;956;24
2020-03-21;60+;4411;1012;0.0;0.0;0.0;798;530
2020-03-21;whole;6172;1525;0.0;0.0;0.0;1896;562
2020-03-22;0-19;56;6;0.0;0.0;0.0;127;0
2020-03-22;20-59;1918;569;0.0;0.0;0.0;1109;28
2020-03-22;60+;5142;1150;0.0;0.0;0.0;939;638
2020-03-22;whole;7240;1746;0.0;0.0;0.0;2203;674
2020-03-23;0-19;64;12;0.0;0.0;0.0;144;0
2020-03-23;20-59;2328;692;0.0;0.0;0.0;1314;38
2020-03-23;60+;6152;1355;0.0;0.0;0.0;1074;812
2020-03-23;whole;8673;2080;0.0;0.0;0.0;2567;860
2020-03-24;0-19;60;10;0.0;0.0;0.0;171;0
2020-03-24;20-59;2734;847;0.0;0.0;0.0;1675;53
2020-03-24;60+;7244;1615;0.0;0.0;0.0;1392;1034
2020-03-24;whole;10163;2503;0.0;0.0;0.0;3281;1100
2020-03-25;0-19;70;14;0.0;0.0;0.0;195;1
2020-03-25;20-59;3231;978;0.0;0.0;0.0;2089;66
2020-03-25;60+;8623;1906;0.0;0.0;0.0;1748;1306
2020-03-25;whole;12072;2935;0.0;0.0;0.0;4085;1387
2020-03-26;0-19;81;16;0.0;0.0;0.0;209;1
2020-03-26;20-59;3692;1131;0.0;0.0;0.0;2534;84
2020-03-26;60+;9909;2159;0.0;0.0;0.0;2146;1593
2020-03-26;whole;13879;3351;0.0;0.0;0.0;4947;1695
2020-03-27;0-19;89;13;0.0;0.0;0.0;235;1
2020-03-27;20-59;4217;1263;0.0;0.0;0.0;2892;99
2020-03-27;60+;11185;2437;0.0;0.0;0.0;2503;1874
2020-03-27;whole;15701;3758;0.0;0.0;0.0;5698;1994
2020-03-28;0-19;99;16;0.0;0.0;0.0;251;1
2020-03-28;20-59;4754;1417;0.0;0.0;0.0;3344;119
2020-03-28;60+;12477;2748;0.0;0.0;0.0;2952;2171
2020-03-28;whole;17580;4236;0.0;0.0;0.0;6624;2313
2020-03-29;0-19;111;16;0.0;0.0;0.0;256;1
2020-03-29;20-59;5354;1558;0.0;0.0;0.0;3593;137
2020-03-29;60+;13576;2960;0.0;0.0;0.0;3198;2443
2020-03-29;whole;19311;4592;0.0;0.0;0.0;7131;2606
2020-03-30;0-19;122;22;0.0;0.0;0.0;275;1
2020-03-30;20-59;5812;1707;0.0;0.0;0.0;4016;160
2020-03-30;60+;14695;3242;0.0;0.0;0.0;3536;2825
2020-03-30;whole;20946;5056;0.0;0.0;0.0;7923;3024
2020-03-31;0-19;121;23;0.0;0.0;0.0;293;1
2020-03-31;20-59;6229;1872;0.0;0.0;0.0;4793;194
2020-03-31;60+;15977;3525;0.0;0.0;0.0;4229;3281
2020-03-31;whole;22672;5496;0.0;0.0;0.0;9443;3523
2020-04-01;0-19;129;29;0.0;0.0;0.0;307;1
2020-04-01;20-59;6678;2043;0.0;0.0;0.0;5496;232
2020-04-01;60+;17404;3802;0.0;0.0;0.0;4980;3750
2020-04-01;whole;24543;5940;0.0;0.0;0.0;10934;4032
2020-04-02;0-19;147;35;0.0;0.0;0.0;342;1
2020-04-02;20-59;7047;2172;0.0;0.0;0.0;6180;274
2020-04-02;60+;18598;4030;0.0;0.0;0.0;5738;4180
2020-04-02;whole;26131;6305;0.0;0.0;0.0;12427;4503
2020-04-03;0-19;158;39;0.0;0.0;0.0;368;1
2020-04-03;20-59;7251;2234;0.0;0.0;0.0;6855;320
2020-04-03;60+;19562;4215;0.0;0.0;0.0;6619;4721
2020-04-03;whole;27302;6556;0.0;0.0;0.0;14007;5091
2020-04-04;0-19;157;41;0.0;0.0;0.0;386;1
2020-04-04;20-59;7263;2306;0.0;0.0;0.0;7508;348
2020-04-04;60+;20256;4307;0.0;0.0;0.0;7371;5131
2020-04-04;whole;28003;6723;0.0;0.0;0.0;15437;5532
2020-04-05;0-19;159;43;0.0;0.0;0.0;399;1
2020-04-05;20-59;7402;2370;0.0;0.0;0.0;7856;381
2020-04-05;60+;20838;4374;0.0;0.0;0.0;7755;5454
2020-04-05;whole;28747;6859;0.0;0.0;0.0;16182;5889
2020-04-06;0-19;167;41;0.0;0.0;0.0;415;1
2020-04-06;20-59;7556;2414;0.0;0.0;0.0;8412;415
2020-04-06;60+;21524;4420;0.0;0.0;0.0;8249;6021
2020-04-06;whole;29569;6948;0.0;0.0;0.0;17249;6494
2020-04-07;0-19;167;43;0.0;0.0;0.0;450;1
2020-04-07;20-59;7471;2383;0.0;0.0;0.0;9271;462
2020-04-07;60+;21928;4507;0.0;0.0;0.0;9415;6570
2020-04-07;whole;29871;7004;0.0;0.0;0.0;19336;7091
2020-04-08;0-19;162;48;0.0;0.0;0.0;477;1
2020-04-08;20-59;7416;2385;0.0;0.0;0.0;10050;502
2020-04-08;60+;22337;4518;0.0;0.0;0.0;10516;7068
2020-04-08;whole;30217;7019;0.0;0.0;0.0;21253;7632
2020-04-09;0-19;157;41;0.0;0.0;0.0;521;1
2020-04-09;20-59;7250;2325;0.0;0.0;0.0;10814;535
2020-04-09;60+;22897;4502;0.0;0.0;0.0;11650;7446
2020-04-09;whole;30608;6937;0.0;0.0;0.0;23205;8044
2020-04-10;0-19;163;41;0.0;0.0;0.0;544;2
2020-04-10;20-59;7194;2301;0.0;0.0;0.0;11466;570
2020-04-10;60+;23457;4466;0.0;0.0;0.0;12691;7962
2020-04-10;whole;31108;6875;0.0;0.0;0.0;24931;8598
2020-04-11;0-19;170;40;0.0;0.0;0.0;563;2
2020-04-11;20-59;7029;2252;0.0;0.0;0.0;12046;596
2020-04-11;60+;23655;4394;0.0;0.0;0.0;13544;8278
2020-04-11;whole;31159;6752;0.0;0.0;0.0;26390;8943
2020-04-12;0-19;169;38;0.0;0.0;0.0;577;2
2020-04-12;20-59;7025;2239;0.0;0.0;0.0;12420;631
2020-04-12;60+;24172;4369;0.0;0.0;0.0;13946;8553
2020-04-12;whole;31665;6714;0.0;0.0;0.0;27185;9253
2020-04-13;0-19;181;39;0.0;0.0;0.0;586;3
2020-04-13;20-59;7052;2240;0.0;0.0;0.0;12663;651
2020-04-13;60+;24421;4345;0.0;0.0;0.0;14222;8871
2020-04-13;whole;31952;6690;0.0;0.0;0.0;27717;9588
2020-04-14;0-19;195;42;0.0;0.0;0.0;610;3
2020-04-14;20-59;6831;2162;0.0;0.0;0.0;13028;665
2020-04-14;60+;24833;4335;0.0;0.0;0.0;14928;9394
2020-04-14;whole;32131;6599;0.0;0.0;0.0;28804;10129
2020-04-15;0-19;187;42;0.0;0.0;0.0;640;3
2020-04-15;20-59;6570;2057;0.0;0.0;0.0;13787;696
2020-04-15;60+;24618;4176;0.0;0.0;0.0;16265;9873
2020-04-15;whole;31623;6331;0.0;0.0;0.0;30952;10643
2020-04-16;0-19;197;42;0.0;0.0;0.0;665;3
2020-04-16;20-59;6331;1984;0.0;0.0;0.0;14394;725
2020-04-16;60+;24422;4064;0.0;0.0;0.0;17425;10250
2020-04-16;whole;31172;6139;0.0;0.0;0.0;32806;11053
2020-04-17;0-19;186;43;0.0;0.0;0.0;690;3
2020-04-17;20-59;6202;1905;0.0;0.0;0.0;14907;756
2020-04-17;60+;24463;3925;0.0;0.0;0.0;18484;10637
2020-04-17;whole;31061;5922;0.0;0.0;0.0;34414;11470
2020-04-18;0-19;188;43;0.0;0.0;0.0;703;4
2020-04-18;20-59;5910;1835;0.0;0.0;0.0;15465;772
2020-04-18;60+;24224;3812;0.0;0.0;0.0;19468;10980
2020-04-18;whole;30515;5733;0.0;0.0;0.0;35977;11834
2020-04-19;0-19;180;42;0.0;0.0;0.0;721;4
2020-04-19;20-59;5829;1802;0.0;0.0;0.0;15741;787
2020-04-19;60+;24297;3771;0.0;0.0;0.0;19766;11192
2020-04-19;whole;30486;5644;0.0;0.0;0.0;36572;12061
2020-04-20;0-19;171;33;0.0;0.0;0.0;737;4
2020-04-20;20-59;5766;1769;0.0;0.0;0.0;16059;803
2020-04-20;60+;24343;3753;0.0;0.0;0.0;20263;11619
2020-04-20;whole;30462;5584;0.0;0.0;0.0;37403;12505
2020-04-21;0-19;165;35;0.0;0.0;0.0;757;5
2020-04-21;20-59;5560;1688;0.0;0.0;0.0;16652;821
2020-04-21;60+;24074;3584;0.0;0.0;0.0;21417;11986
2020-04-21;whole;29984;5334;0.0;0.0;0.0;39175;12892
2020-04-22;0-19;167;38;0.0;0.0;0.0;781;5
2020-04-22;20-59;5386;1617;0.0;0.0;0.0;17164;837
2020-04-22;60+;23896;3444;0.0;0.0;0.0;22354;12303
2020-04-22;whole;29627;5127;0.0;0.0;0.0;40651;13225
2020-04-23;0-19;161;36;0.0;0.0;0.0;802;5
2020-04-23;20-59;5207;1542;0.0;0.0;0.0;17578;856
2020-04-23;60+;23574;3360;0.0;0.0;0.0;23346;12592
2020-04-23;whole;29113;4967;0.0;0.0;0.0;42082;13536
2020-04-24;0-19;157;34;0.0;0.0;0.0;816;5
2020-04-24;20-59;5040;1477;0.0;0.0;0.0;17957;875
2020-04-24;60+;23194;3242;0.0;0.0;0.0;24354;12874
2020-04-24;whole;28554;4785;0.0;0.0;0.0;43486;13841
2020-04-25;0-19;165;40;0.0;0.0;0.0;827;5
2020-04-25;20-59;4847;1420;0.0;0.0;0.0;18318;889
2020-04-25;60+;22925;3140;0.0;0.0;0.0;25079;13056
2020-04-25;whole;28119;4641;0.0;0.0;0.0;44587;14039
2020-04-26;0-19;163;39;0.0;0.0;0.0;837;5
2020-04-26;20-59;4838;1413;0.0;0.0;0.0;18421;898
2020-04-26;60+;22928;3105;0.0;0.0;0.0;25273;13198
2020-04-26;whole;28114;4598;0.0;0.0;0.0;44896;14191
2020-04-27;0-19;162;40;0.0;0.0;0.0;847;5
2020-04-27;20-59;4799;1397;0.0;0.0;0.0;18587;906
2020-04-27;60+;22811;3050;0.0;0.0;0.0;25703;13484
2020-04-27;whole;27954;4526;0.0;0.0;0.0;45506;14486
2020-04-28;0-19;161;43;0.0;0.0;0.0;860;5
2020-04-28;20-59;4624;1325;0.0;0.0;0.0;18935;926
2020-04-28;60+;22423;2904;0.0;0.0;0.0;26711;13775
2020-04-28;whole;27385;4307;0.0;0.0;0.0;46879;14798
2020-04-29;0-19;153;39;0.0;0.0;0.0;880;5
2020-04-29;20-59;4487;1262;0.0;0.0;0.0;19280;941
2020-04-29;60+;21924;2796;0.0;0.0;0.0;27685;14003
2020-04-29;whole;26736;4128;0.0;0.0;0.0;48221;15041
2020-04-30;0-19;156;46;0.0;0.0;0.0;899;5
2020-04-30;20-59;4315;1202;0.0;0.0;0.0;19610;953
2020-04-30;60+;21547;2671;0.0;0.0;0.0;28580;14180
2020-04-30;whole;26192;3947;0.0;0.0;0.0;49469;15231
2020-05-01;0-19;152;45;0.0;0.0;0.0;909;5
2020-05-01;20-59;4212;1164;0.0;0.0;0.0;19761;961
2020-05-01;60+;21279;2583;0.0;0.0;0.0;29150;14289
2020-05-01;whole;25809;3819;0.0;0.0;0.0;50204;15350
2020-05-02;0-19;158;48;0.0;0.0;0.0;921;5
2020-05-02;20-59;4177;1145;0.0;0.0;0.0;19874;973
2020-05-02;60+;21252;2550;0.0;0.0;0.0;29374;14392
2020-05-02;whole;25751;3770;0.0;0.0;0.0;50554;15468
2020-05-03;0-19;155;48;0.0;0.0;0.0;928;5
2020-05-03;20-59;4182;1140;0.0;0.0;0.0;19937;975
2020-05-03;60+;21240;2545;0.0;0.0;0.0;29525;14486
2020-05-03;whole;25739;3762;0.0;0.0;0.0;50776;15564
2020-05-04;0-19;145;45;0.0;0.0;0.0;937;5
2020-05-04;20-59;4143;1114;0.0;0.0;0.0;20084;991
2020-05-04;60+;21023;2451;0.0;0.0;0.0;29955;14714
2020-05-04;whole;25472;3639;0.0;0.0;0.0;51363;15807
2020-05-05;0-19;143;41;0.0;0.0;0.0;954;5
2020-05-05;20-59;3979;1044;0.0;0.0;0.0;20386;1001
2020-05-05;60+;20413;2263;0.0;0.0;0.0;30994;14938
2020-05-05;whole;24701;3375;0.0;0.0;0.0;52728;16041
2020-05-06;0-19;138;35;0.0;0.0;0.0;970;5
2020-05-06;20-59;3850;956;0.0;0.0;0.0;20676;1015
2020-05-06;60+;19767;2080;0.0;0.0;0.0;31914;15103
2020-05-06;whole;23912;3095;0.0;0.0;0.0;53963;16218
2020-05-07;0-19;135;37;0.0;0.0;0.0;927;5
2020-05-07;20-59;3665;884;0.0;0.0;0.0;20929;1032
2020-05-07;60+;19186;1967;0.0;0.0;0.0;32755;15233
2020-05-07;whole;23139;2911;0.0;0.0;0.0;55018;16367
2020-05-08;0-19;135;33;0.0;0.0;0.0;940;5
2020-05-08;20-59;3581;854;0.0;0.0;0.0;21087;1041
2020-05-08;60+;18780;1911;0.0;0.0;0.0;33335;15334
2020-05-08;whole;22657;2820;0.0;0.0;0.0;55773;16478
2020-05-09;0-19;134;32;0.0;0.0;0.0;944;6
2020-05-09;20-59;3549;826;0.0;0.0;0.0;21161;1048
2020-05-09;60+;18704;1884;0.0;0.0;0.0;33513;15404
2020-05-09;whole;22547;2764;0.0;0.0;0.0;56029;16554
2020-05-10;0-19;132;30;0.0;0.0;0.0;950;6
2020-05-10;20-59;3546;823;0.0;0.0;0.0;21211;1052
2020-05-10;60+;18665;1853;0.0;0.0;0.0;33636;15468
2020-05-10;whole;22502;2728;0.0;0.0;0.0;56208;16623
2020-05-11;0-19;127;29;0.0;0.0;0.0;961;6
2020-05-11;20-59;3454;797;0.0;0.0;0.0;21370;1068
2020-05-11;60+;18480;1820;0.0;0.0;0.0;33971;15631
2020-05-11;whole;22219;2666;0.0;0.0;0.0;56715;16801
2020-05-12;0-19;124;29;0.0;0.0;0.0;965;6
2020-05-12;20-59;3325;749;0.0;0.0;0.0;21584;1076
2020-05-12;60+;17936;1704;0.0;0.0;0.0;34801;15805
2020-05-12;whole;21530;2496;0.0;0.0;0.0;57776;16984
2020-05-13;0-19;121;32;0.0;0.0;0.0;980;6
2020-05-13;20-59;3277;716;0.0;0.0;0.0;21724;1088
2020-05-13;60+;17472;1624;0.0;0.0;0.0;35529;15889
2020-05-13;whole;21009;2385;0.0;0.0;0.0;58664;17082
2020-05-14;0-19;111;24;0.0;0.0;0.0;998;6
2020-05-14;20-59;3200;678;0.0;0.0;0.0;21877;1098
2020-05-14;60+;16959;1543;0.0;0.0;0.0;36285;16002
2020-05-14;whole;20401;2256;0.0;0.0;0.0;59596;17205
2020-05-15;0-19;110;22;0.0;0.0;0.0;1005;6
2020-05-15;20-59;3111;645;0.0;0.0;0.0;22037;1099
2020-05-15;60+;16454;1485;0.0;0.0;0.0;36959;16117
2020-05-15;whole;19801;2162;0.0;0.0;0.0;60439;17323
2020-05-16;0-19;109;22;0.0;0.0;0.0;1014;6
2020-05-16;20-59;3031;633;0.0;0.0;0.0;22162;1104
2020-05-16;60+;16105;1425;0.0;0.0;0.0;37441;16182
2020-05-16;whole;19372;2091;0.0;0.0;0.0;61057;17393
2020-05-17;0-19;107;21;0.0;0.0;0.0;1018;6
2020-05-17;20-59;3018;617;0.0;0.0;0.0;22205;1109
2020-05-17;60+;16050;1398;0.0;0.0;0.0;37538;16231
2020-05-17;whole;19302;2047;0.0;0.0;0.0;61204;17447
2020-05-18;0-19;101;19;0.0;0.0;0.0;1027;6
2020-05-18;20-59;2955;583;0.0;0.0;0.0;22334;1121
2020-05-18;60+;15779;1346;0.0;0.0;0.0;37912;16342
2020-05-18;whole;18956;1958;0.0;0.0;0.0;61719;17570
2020-05-19;0-19;89;18;0.0;0.0;0.0;1047;6
2020-05-19;20-59;2834;545;0.0;0.0;0.0;22518;1127
2020-05-19;60+;15368;1281;0.0;0.0;0.0;38539;16460
2020-05-19;whole;18409;1854;0.0;0.0;0.0;62554;17695
2020-05-20;0-19;87;22;0.0;0.0;0.0;1058;6
2020-05-20;20-59;2777;511;0.0;0.0;0.0;22645;1134
2020-05-20;60+;14902;1210;0.0;0.0;0.0;39189;16549
2020-05-20;whole;17882;1754;0.0;0.0;0.0;63345;17793
2020-05-21;0-19;85;17;0.0;0.0;0.0;1070;6
2020-05-21;20-59;2724;502;0.0;0.0;0.0;22740;1137
2020-05-21;60+;14604;1179;0.0;0.0;0.0;39583;16603
2020-05-21;whole;17527;1708;0.0;0.0;0.0;63849;17851
2020-05-22;0-19;90;18;0.0;0.0;0.0;1070;6
2020-05-22;20-59;2685;492;0.0;0.0;0.0;22819;1144
2020-05-22;60+;14441;1144;0.0;0.0;0.0;39848;16669
2020-05-22;whole;17327;1664;0.0;0.0;0.0;64200;17925
2020-05-23;0-19;89;19;0.0;0.0;0.0;1075;6
2020-05-23;20-59;2627;481;0.0;0.0;0.0;22918;1145
2020-05-23;60+;14292;1118;0.0;0.0;0.0;40082;16711
2020-05-23;whole;17122;1628;0.0;0.0;0.0;64538;17968
2020-05-24;0-19;91;23;0.0;0.0;0.0;1078;6
2020-05-24;20-59;2631;473;0.0;0.0;0.0;22939;1147
2020-05-24;60+;14291;1112;0.0;0.0;0.0;40128;16744
2020-05-24;whole;17129;1618;0.0;0.0;0.0;64608;18003
2020-05-25;0-19;82;20;0.0;0.0;0.0;1088;6
2020-05-25;20-59;2604;461;0.0;0.0;0.0;23013;1157
2020-05-25;60+;13942;1081;0.0;0.0;0.0;40625;16822
2020-05-25;whole;16742;1572;0.0;0.0;0.0;65190;18093
2020-05-26;0-19;83;20;0.0;0.0;0.0;1092;6
2020-05-26;20-59;2537;446;0.0;0.0;0.0;23127;1165
2020-05-26;60+;13476;1042;0.0;0.0;0.0;41186;16896
2020-05-26;whole;16209;1519;0.0;0.0;0.0;65870;18175
2020-05-27;0-19;84;19;0.0;0.0;0.0;1097;6
2020-05-27;20-59;2443;428;0.0;0.0;0.0;23241;1170
2020-05-27;60+;12991;1009;0.0;0.0;0.0;41766;16955
2020-05-27;whole;15627;1467;0.0;0.0;0.0;66575;18240
2020-05-28;0-19;81;17;0.0;0.0;0.0;1104;6
2020-05-28;20-59;2379;402;0.0;0.0;0.0;23335;1182
2020-05-28;60+;12590;966;0.0;0.0;0.0;42269;17010
2020-05-28;whole;15155;1395;0.0;0.0;0.0;67182;18306
2020-05-29;0-19;80;17;0.0;0.0;0.0;1108;6
2020-05-29;20-59;2308;393;0.0;0.0;0.0;23445;1187
2020-05-29;60+;12152;910;0.0;0.0;0.0;42762;17066
2020-05-29;whole;14643;1328;0.0;0.0;0.0;67794;18367
2020-05-30;0-19;78;16;0.0;0.0;0.0;1116;6
2020-05-30;20-59;2241;379;0.0;0.0;0.0;23562;1187
2020-05-30;60+;11907;891;0.0;0.0;0.0;43101;17123
2020-05-30;whole;14329;1293;0.0;0.0;0.0;68259;18424
2020-05-31;0-19;77;15;0.0;0.0;0.0;1119;6
2020-05-31;20-59;2239;379;0.0;0.0;0.0;23587;1187
2020-05-31;60+;11850;886;0.0;0.0;0.0;43160;17154
2020-05-31;whole;14271;1287;0.0;0.0;0.0;68346;18455
2020-06-01;0-19;77;15;0.0;0.0;0.0;1121;6
2020-06-01;20-59;2230;375;0.0;0.0;0.0;23609;1187
2020-06-01;60+;11823;873;0.0;0.0;0.0;43221;17185
2020-06-01;whole;14237;1270;0.0;0.0;0.0;68431;18486
2020-06-02;0-19;72;14;0.0;0.0;0.0;1128;6
2020-06-02;20-59;2201;365;0.0;0.0;0.0;23699;1195
2020-06-02;60+;11602;836;0.0;0.0;0.0;43492;17261
2020-06-02;whole;13978;1221;0.0;0.0;0.0;68803;18570
2020-06-03;0-19;68;13;0.0;0.0;0.0;1134;6
2020-06-03;20-59;2145;354;0.0;0.0;0.0;23802;1199
2020-06-03;60+;11152;807;0.0;0.0;0.0;44023;17337
2020-06-03;whole;13465;1179;0.0;0.0;0.0;69446;18651
2020-06-04;0-19;73;14;0.0;0.0;0.0;1136;6
2020-06-04;20-59;2126;339;0.0;0.0;0.0;23862;1201
2020-06-04;60+;10757;773;0.0;0.0;0.0;44482;17379
2020-06-04;whole;13054;1133;0.0;0.0;0.0;69967;18695
2020-06-05;0-19;78;15;0.0;0.0;0.0;1138;6
2020-06-05;20-59;2081;321;0.0;0.0;0.0;23947;1204
2020-06-05;60+;10392;723;0.0;0.0;0.0;44922;17422
2020-06-05;whole;12650;1065;0.0;0.0;0.0;70494;18741
2020-06-06;0-19;79;14;0.0;0.0;0.0;1141;6
2020-06-06;20-59;2053;313;0.0;0.0;0.0;24007;1208
2020-06-06;60+;10205;697;0.0;0.0;0.0;45159;17449
2020-06-06;whole;12433;1030;0.0;0.0;0.0;70796;18772
2020-06-07;0-19;79;14;0.0;0.0;0.0;1141;6
2020-06-07;20-59;2049;310;0.0;0.0;0.0;24020;1209
2020-06-07;60+;10190;694;0.0;0.0;0.0;45182;17461
2020-06-07;whole;12415;1024;0.0;0.0;0.0;70832;18785
2020-06-08;0-19;76;13;0.0;0.0;0.0;1148;6
2020-06-08;20-59;2020;297;0.0;0.0;0.0;24075;1215
2020-06-08;60+;10076;679;0.0;0.0;0.0;45339;17509
2020-06-08;whole;12269;995;0.0;0.0;0.0;71052;18839
2020-06-09;0-19;72;10;0.0;0.0;0.0;1157;6
2020-06-09;20-59;1947;281;0.0;0.0;0.0;24181;1221
2020-06-09;60+;9804;629;0.0;0.0;0.0;45666;17556
2020-06-09;whole;11915;926;0.0;0.0;0.0;71496;18892
2020-06-10;0-19;71;11;0.0;0.0;0.0;1161;6
2020-06-10;20-59;1922;276;0.0;0.0;0.0;24233;1224
2020-06-10;60+;9549;611;0.0;0.0;0.0;45938;17576
2020-06-10;whole;11632;904;0.0;0.0;0.0;71822;18915
2020-06-11;0-19;70;12;0.0;0.0;0.0;1165;6
2020-06-11;20-59;1886;267;0.0;0.0;0.0;24297;1226
2020-06-11;60+;9375;590;0.0;0.0;0.0;46186;17602
2020-06-11;whole;11420;875;0.0;0.0;0.0;72139;18942
2020-06-12;0-19;69;12;0.0;0.0;0.0;1169;6
2020-06-12;20-59;1843;265;0.0;0.0;0.0;24372;1230
2020-06-12;60+;9080;568;0.0;0.0;0.0;46527;17626
2020-06-12;whole;11079;851;0.0;0.0;0.0;72562;18970
2020-06-13;0-19;68;11;0.0;0.0;0.0;1170;6
2020-06-13;20-59;1787;263;0.0;0.0;0.0;24435;1234
2020-06-13;60+;8925;563;0.0;0.0;0.0;46697;17646
2020-06-13;whole;10864;843;0.0;0.0;0.0;72798;18994
2020-06-14;0-19;65;11;0.0;0.0;0.0;1174;6
2020-06-14;20-59;1786;261;0.0;0.0;0.0;24449;1234
2020-06-14;60+;8901;564;0.0;0.0;0.0;46730;17655
2020-06-14;whole;10836;841;0.0;0.0;0.0;72849;19003
2020-06-15;0-19;69;11;0.0;0.0;0.0;1176;6
2020-06-15;20-59;1784;251;0.0;0.0;0.0;24483;1236
2020-06-15;60+;8771;551;0.0;0.0;0.0;46878;17682
2020-06-15;whole;10707;818;0.0;0.0;0.0;73034;19032
2020-06-16;0-19;65;9;0.0;0.0;0.0;1189;6
2020-06-16;20-59;1757;246;0.0;0.0;0.0;24538;1237
2020-06-16;60+;8582;532;0.0;0.0;0.0;47101;17719
2020-06-16;whole;10490;792;0.0;0.0;0.0;73325;19070
2020-06-17;0-19;63;9;0.0;0.0;0.0;1197;6
2020-06-17;20-59;1710;226;0.0;0.0;0.0;24612;1241
2020-06-17;60+;8364;505;0.0;0.0;0.0;47351;17743
2020-06-17;whole;10222;744;0.0;0.0;0.0;73657;19098
2020-06-18;0-19;64;9;0.0;0.0;0.0;1198;6
2020-06-18;20-59;1695;216;0.0;0.0;0.0;24650;1246
2020-06-18;60+;8236;495;0.0;0.0;0.0;47531;17766
2020-06-18;whole;10080;724;0.0;0.0;0.0;73877;19126
2020-06-19;0-19;64;8;0.0;0.0;0.0;1203;6
2020-06-19;20-59;1688;214;0.0;0.0;0.0;24681;1247
2020-06-19;60+;8087;474;0.0;0.0;0.0;47723;17779
2020-06-19;whole;9925;699;0.0;0.0;0.0;74107;19140
2020-06-20;0-19;60;7;0.0;0.0;0.0;1207;6
2020-06-20;20-59;1658;207;0.0;0.0;0.0;24737;1249
2020-06-20;60+;7990;470;0.0;0.0;0.0;47856;17793
2020-06-20;whole;9792;687;0.0;0.0;0.0;74302;19156
2020-06-21;0-19;59;7;0.0;0.0;0.0;1212;6
2020-06-21;20-59;1655;205;0.0;0.0;0.0;24764;1250
2020-06-21;60+;7982;472;0.0;0.0;0.0;47884;17799
2020-06-21;whole;9778;687;0.0;0.0;0.0;74362;19163
2020-06-22;0-19;70;7;0.0;0.0;0.0;1217;6
2020-06-22;20-59;1637;205;0.0;0.0;0.0;24819;1252
